epsilon	brent	dichotomy	fibonacci	golden-section	parabolic
-15.2492	26	52	39	39	22
-14.5561	25	50	37	37	22
-13.8629	23	48	36	36	22
-13.1698	22	46	34	34	22
-12.4766	20	44	33	33	22
-11.7835	19	42	31	31	22
-11.0904	17	40	30	30	22
-10.3972	16	38	29	29	22
-9.70406	16	36	27	27	22
-9.01091	16	34	26	26	22
-8.31777	16	32	24	24	22
-7.62462	16	30	23	23	22
-6.93147	16	28	21	21	22
-6.23832	14	26	20	20	22
-5.54518	14	24	18	18	22
-4.85203	14	22	17	17	22
-4.15888	14	20	16	16	22
-3.46574	14	18	14	14	22
-2.77259	14	16	13	13	22
-2.07944	12	14	11	11	22
-1.38629	12	12	10	10	22
-0.693147	11	10	8	8	8
